REPORT_NUMBER,CRASH_DT,FARS_LANDUSE,FARS_LANDUSE_CD,FARS_FUNCLASS,FARS_FUNCLASS_CD,FARS_OWNERSHIP,FARS_OWNERSHIP_CD,FARS_NHS,FARS_NHS_CD,ROUTE_SIGNAGE,ROUTE_SIGNAGE_CD,SPEED_LIMIT,S4_GEOLOCATION_CURRENT,S4_GEOLOCATION_REVIEW,S4_GEOLOCATION_UPDATED_DATE,LONGITUDE,LATITUDE,TRAFFIC_IDENTIFIER,STATE_ROAD,US_INTERSTATE,MODE
27271149,11/11/2025 12:00:00 AM,Urban,2.0,Minor Arterial,4.0,City or Municipal Highway Agency,4.0,Not on the National Highway System,6.0,Municipality,6.0,30.0,Editor,Complete,5/22/2026 10:15:24 AM,27.3257637670007,-80.3494627204843,NE FLORESTA DR                      ,,,E-Bike
88937422,4/11/2019 12:00:00 AM,Urban,2.0,Principal Arterial - Other,3.0,State Highway Agency,1.0,On the National Highway System,1.0,US Highway,2.0,35.0,Editor,Complete,3/5/2025 11:35:23 PM,25.9914266958874,-80.142497958131,N FEDERAL HWY                       ,SR    5 ,US    1 ,E-Scooter
89041781,5/14/2019 12:00:00 AM,Urban,2.0,Local,7.0,Trafficway Not in State Inventory,96.0,Not on the National Highway System,6.0,Municipality,6.0,35.0,Editor,Not reviewed,6/17/2021 10:55:16 AM,27.9016625546558,-82.745614523778,142ND AVE N                         ,,,E-Bike
89509356,1/28/2021 12:00:00 AM,Urban,2.0,Major Collector,5.0,Trafficway Not in State Inventory,96.0,Not on the National Highway System,6.0,Municipality,6.0,35.0,Editor,Not reviewed,2/11/2021 10:39:35 AM,26.4350226910555,-80.1024375378905,GERMANTOWN RD                       ,,,E-Bike
87031771,10/31/2017 12:00:00 AM,Rural,1.0,Local,7.0,Trafficway Not in State Inventory,96.0,Not on the National Highway System,6.0,Other,8.0,35.0,Editor,Complete,3/5/2025 8:19:25 PM,30.4638684172992,-81.642333495311,COLE RD                             ,,,Bicycle
25492683,9/18/2022 12:00:00 AM,Urban,2.0,Principal Arterial - Other,3.0,State Highway Agency,1.0,On the National Highway System,1.0,State Highway,3.0,45.0,Editor,Complete,7/31/2023 8:48:49 AM,27.8944839112532,-82.7571282724368,ULMERTON RD                         ,SR 688,,E-Bike
25564319,9/19/2023 12:00:00 AM,Urban,2.0,Local,7.0,City or Municipal Highway Agency,4.0,Not on the National Highway System,6.0,Municipality,6.0,30.0,Editor,Complete,1/5/2024 11:20:46 AM,28.5436509748358,-81.4072305296283,FRED L MAXWELL BLVD                 ,,,E-Bike
25492470,8/18/2022 12:00:00 AM,Urban,2.0,Principal Arterial - Other Freeways and Expressways,2.0,State Highway Agency,1.0,On the National Highway System,1.0,US Highway,2.0,35.0,Editor,Complete,9/12/2024 3:48:37 PM,27.9009862815836,-82.726901860985,US HIGHWAY 19 N                     ,,,E-Bike
25803040,11/25/2025 12:00:00 AM,Urban,2.0,Principal Arterial - Other,3.0,State Highway Agency,1.0,On the National Highway System,1.0,US Highway,2.0,45.0,Editor,Complete,5/8/2026 3:15:13 PM,26.002483420702,-80.2071878067381,S 60TH AVE                          ,SR 7,US 441,E-Scooter
27474661,7/6/2025 12:00:00 AM,Urban,2.0,Principal Arterial - Other,3.0,State Highway Agency,1.0,On the National Highway System,1.0,US Highway,2.0,45.0,Editor,Complete,5/28/2026 4:42:46 PM,30.286877667775,-81.5357942518897,BEACH BLVD                          ,SR 10,US 90,E-Bike
24115845,5/10/2021 12:00:00 AM,Urban,2.0,Principal Arterial - Other,3.0,State Highway Agency,1.0,On the National Highway System,1.0,US Highway,2.0,40.0,Editor,Complete,1/19/2023 10:21:27 AM,30.3179054386376,-81.5564195752946,ATLANTIC BLVD                       ,SR   10 ,USA  90 ,E-Bike
24432767,6/20/2021 12:00:00 AM,Urban,2.0,Principal Arterial - Other,3.0,State Highway Agency,1.0,On the National Highway System,1.0,State Highway,3.0,45.0,Editor,Complete,1/19/2023 10:22:41 AM,27.8802920521341,-82.8252641951006,OVAL DR                             ,SR  688 ,,E-Bike
24808721,4/2/2022 12:00:00 AM,Urban,2.0,Major Collector,5.0,City or Municipal Highway Agency,4.0,Not on the National Highway System,6.0,Municipality,6.0,30.0,Editor,Complete,1/14/2025 3:42:07 PM,27.9094059813454,-82.7996357386803,8TH AVE SW                          ,,,E-Bike
86733451,4/28/2017 12:00:00 AM,Urban,2.0,Local,7.0,Trafficway Not in State Inventory,96.0,Not on the National Highway System,6.0,Other,8.0,40.0,Editor,Complete,3/5/2025 9:03:47 PM,25.8297193698804,-80.287624300039,W 9TH ST                            ,,,Bicycle
24572498,11/20/2021 12:00:00 AM,Urban,2.0,Principal Arterial - Other,3.0,State Highway Agency,1.0,On the National Highway System,1.0,US Highway,2.0,35.0,Editor,Complete,1/19/2023 10:25:38 AM,26.6452917305737,-81.8651725096112,FOWLER ST                           ,SR  739 ,USB  41 ,Bicycle
26352231,5/27/2024 12:00:00 AM,Urban,2.0,Minor Collector,6.0,City or Municipal Highway Agency,4.0,Not on the National Highway System,6.0,Municipality,6.0,35.0,Editor,Preliminary,9/5/2024 2:27:29 PM,27.6307482721094,-80.5123808020562,90TH AVE                            ,,,Bicycle
25349318,3/21/2024 12:00:00 AM,Urban,2.0,Principal Arterial - Other,3.0,City or Municipal Highway Agency,4.0,On the National Highway System,1.0,Municipality,6.0,4.0,Editor,Preliminary,1/9/2025 5:20:33 PM,25.8408137605896,-80.333637671215,NW 74TH ST                          ,,,Bicycle
89123599,6/15/2019 12:00:00 AM,Urban,2.0,Local,7.0,City or Municipal Highway Agency,4.0,Not on the National Highway System,6.0,Municipality,6.0,30.0,Editor,Complete,7/2/2024 12:53:20 PM,29.2200864726395,-81.0066310332813,VERMONT AVE                         ,,,Bicycle
84548146,1/18/2015 12:00:00 AM,,,,,,,,,State Highway,3.0,55.0,Editor,Complete,3/5/2025 6:26:57 PM,29.1751837768552,-81.8712612861744,E HIGHWAY 40                        ,SR   40 ,,Bicycle
85233449,1/1/2016 12:00:00 AM,Urban,2.0,Principal Arterial - Other,3.0,State Highway Agency,1.0,On the National Highway System,1.0,US Highway,2.0,35.0,Editor,Complete,3/5/2025 7:45:53 PM,30.4238930415112,-87.2616186173936,MOBILE HWY                          ,SR   10A,US   90 ,Bicycle
26422343,4/18/2025 12:00:00 AM,Urban,2.0,Minor Arterial,4.0,State Highway Agency,1.0,Not on the National Highway System,6.0,State Highway,3.0,40.0,Editor,Complete,5/15/2026 4:19:56 PM,27.7124930706419,-82.3003875620589,SR-674                              ,SR 674,,Bicycle
86766571,1/8/2018 12:00:00 AM,Urban,2.0,Principal Arterial - Other,3.0,State Highway Agency,1.0,On the National Highway System,1.0,US Highway,2.0,50.0,Editor,Complete,3/5/2025 9:26:05 PM,27.5176852736966,-82.5630531622009,TAMIAMI TRL                         ,SR   55 ,US   41 ,Bicycle
25832031,9/14/2023 12:00:00 AM,Urban,2.0,Local,7.0,City or Municipal Highway Agency,4.0,Not on the National Highway System,6.0,Municipality,6.0,30.0,Officer,Complete,1/10/2024 12:59:30 PM,25.9644754556026,-80.2491647179474,NW 207TH ST                         ,,,Bicycle
87251200,12/1/2018 12:00:00 AM,Urban,2.0,Principal Arterial - Other,3.0,State Highway Agency,1.0,On the National Highway System,1.0,US Highway,2.0,45.0,Editor,Complete,3/5/2025 10:47:14 PM,27.2456111080147,-82.5111076550664,S TAMIAMI TRL                       ,SR   45 ,US   41 ,Bicycle
24897484,3/18/2022 12:00:00 AM,Urban,2.0,Principal Arterial - Other,3.0,State Highway Agency,1.0,On the National Highway System,1.0,US Highway,2.0,50.0,Editor,Complete,1/19/2023 9:35:41 AM,28.4341033098404,-82.4616820814633,BROAD ST                            ,SR   45 ,US   41 ,Bicycle
89748316,3/10/2025 12:00:00 AM,Urban,2.0,Principal Arterial - Other,3.0,State Highway Agency,1.0,On the National Highway System,1.0,US Highway,2.0,50.0,Editor,Complete,5/11/2026 3:51:14 PM,27.0145966184378,-80.104857775405,SE FEDERAL HWY                      ,SR 5,US 1,Bicycle
86225092,11/9/2015 12:00:00 AM,,,,,,,,,State Highway,3.0,40.0,Editor,Complete,3/5/2025 6:00:16 PM,25.8246608396926,-80.216218201224,NW 54TH ST                          ,SR  944 ,,Bicycle
85231284,12/12/2015 12:00:00 AM,,,,,,,,,County Road,4.0,55.0,Editor,Complete,3/5/2025 5:58:19 PM,28.3366104957015,-82.1676408695991,OLD LAKELAND HWY                    ,,,Bicycle
27038166,10/5/2025 12:00:00 AM,Urban,2.0,Major Collector,5.0,County Highway Agency,2.0,Not on the National Highway System,6.0,County Road,4.0,55.0,System confident,Complete,6/8/2026 2:07:22 PM,29.2669982241986,-82.2051157708881,W HIGHWAY 326                       ,CR 326,,Bicycle
85549814,6/29/2017 12:00:00 AM,Rural,1.0,Local,7.0,Trafficway Not in State Inventory,96.0,Not on the National Highway System,6.0,Other,8.0,30.0,Editor,Complete,3/5/2025 9:19:14 PM,29.1051790937714,-82.2454332405016,SW 76TH AVE                         ,,,Bicycle
27554792,10/31/2025 12:00:00 AM,Urban,2.0,Minor Arterial,4.0,County Highway Agency,2.0,Not on the National Highway System,6.0,County Road,4.0,55.0,Editor,Complete,5/28/2026 6:14:50 PM,26.9381135331572,-80.1787084912684,W INDIANTOWN RD                     ,CR 706,,Bicycle
24244319,4/6/2021 12:00:00 AM,Urban,2.0,Major Collector,5.0,City or Municipal Highway Agency,4.0,Not on the National Highway System,6.0,Municipality,6.0,30.0,Editor,Complete,1/10/2025 2:04:54 PM,28.0637470069416,-80.6110139507807,E UNIVERSITY BLVD                   ,,,Bicycle
89037641,2/10/2020 12:00:00 AM,Urban,2.0,Major Collector,5.0,Trafficway Not in State Inventory,96.0,Not on the National Highway System,6.0,Municipality,6.0,45.0,Editor,Not reviewed,2/25/2020 9:49:49 AM,28.6088043606885,-81.5163855106496,CLARKE RD N                         ,,,Bicycle
89391158,8/21/2021 12:00:00 AM,Urban,2.0,Principal Arterial - Other,3.0,State Highway Agency,1.0,On the National Highway System,1.0,State Highway,3.0,35.0,Editor,Complete,1/19/2023 10:24:27 AM,27.4953983390081,-82.5710792804126,MANATEE AVE W                       ,SR   64 ,,Bicycle
85245002,1/1/2016 12:00:00 AM,Urban,2.0,Principal Arterial - Other,3.0,State Highway Agency,1.0,On the National Highway System,1.0,US Highway,2.0,45.0,Editor,Complete,3/5/2025 7:52:10 PM,28.2975860186812,-82.707086364927,US HIGHWAY 19                       ,SR   55 ,US   19 ,Bicycle
85276462,4/30/2016 12:00:00 AM,Urban,2.0,Major Collector,5.0,State Highway Agency,1.0,Not on the National Highway System,6.0,State Highway,3.0,45.0,Editor,Complete,3/5/2025 7:51:39 PM,25.5801535769746,-80.4623013661356,SW 200TH ST                         ,SR  994 ,,Bicycle
24887335,2/7/2022 12:00:00 AM,Urban,2.0,Principal Arterial - Other,3.0,State Highway Agency,1.0,On the National Highway System,1.0,State Highway,3.0,40.0,Editor,Complete,1/19/2023 9:32:43 AM,26.6819767226868,-81.8973923993122,PINE ISLAND RD                      ,SR   78 ,,Bicycle
27289341,9/21/2025 12:00:00 AM,Urban,2.0,Principal Arterial - Other,3.0,State Highway Agency,1.0,On the National Highway System,1.0,State Highway,3.0,55.0,Officer,Complete,6/2/2026 6:28:07 PM,28.5581463437,-81.8169855290376,SR-50                               ,SR 50,,Bicycle
85163901,10/29/2016 12:00:00 AM,Rural,1.0,Local,7.0,Trafficway Not in State Inventory,96.0,Not on the National Highway System,6.0,Other,8.0,35.0,Editor,Complete,3/5/2025 7:06:17 PM,28.8143691586897,-81.3397682939595,N OREGON ST                         ,,,Bicycle
86260863,1/19/2016 12:00:00 AM,Urban,2.0,Local,7.0,Trafficway Not in State Inventory,96.0,Not on the National Highway System,6.0,Municipality,6.0,35.0,Editor,Complete,3/5/2025 7:17:32 PM,26.2592707378821,-80.1155136493574,E COPANS RD                         ,,,Bicycle
88216384,10/4/2019 12:00:00 AM,Urban,2.0,Major Collector,5.0,State Highway Agency,1.0,Not on the National Highway System,6.0,Municipality,6.0,30.0,Editor,Complete,3/5/2025 11:36:37 PM,28.2432049481883,-82.1859495775292,7TH ST                              ,,,Bicycle
27323752,10/3/2025 12:00:00 AM,Urban,2.0,Principal Arterial - Other,3.0,State Highway Agency,1.0,On the National Highway System,1.0,State Highway,3.0,45.0,Editor,Complete,5/14/2026 5:02:02 PM,29.6884376498914,-82.3024558061513,NE 39TH AVE                         ,SR 222,,Bicycle
87054700,7/3/2017 12:00:00 AM,Urban,2.0,Local,7.0,Trafficway Not in State Inventory,96.0,Not on the National Highway System,6.0,Municipality,6.0,35.0,Editor,Complete,3/5/2025 8:56:29 PM,28.2942947270239,-81.4488949989807,N HOAGLAND BLVD                     ,,,Bicycle
88402096,10/15/2020 12:00:00 AM,Rural,1.0,Minor Arterial,4.0,State Highway Agency,1.0,Not on the National Highway System,6.0,State Highway,3.0,55.0,Editor,Not reviewed,12/1/2020 9:56:15 AM,30.543118654289,-86.9020956715182,SR-87                               ,SR   87 ,,Bicycle
85310806,6/16/2016 12:00:00 AM,Urban,2.0,Minor Arterial,4.0,State Highway Agency,1.0,On the National Highway System,1.0,US Highway,2.0,45.0,Editor,Complete,3/5/2025 6:41:27 PM,30.1865676998877,-82.5932399294229,E US HIGHWAY 90                     ,SR   10 ,US   90 ,Bicycle
85541560,11/15/2017 12:00:00 AM,Rural,1.0,Local,7.0,Trafficway Not in State Inventory,96.0,Not on the National Highway System,6.0,Municipality,6.0,30.0,Editor,Complete,3/5/2025 8:00:53 PM,27.0049390380752,-82.1080682891079,DORCHESTER ST                       ,,,Bicycle
87633936,4/21/2018 12:00:00 AM,Urban,2.0,Principal Arterial - Other,3.0,State Highway Agency,1.0,On the National Highway System,1.0,State Highway,3.0,40.0,Editor,Complete,3/5/2025 10:32:13 PM,25.6563587068536,-80.4156960375254,SW 137TH AVE                        ,SR  825 ,,Bicycle
26984887,7/17/2025 12:00:00 AM,Urban,2.0,Major Collector,5.0,County Highway Agency,2.0,Not on the National Highway System,6.0,Municipality,6.0,45.0,Editor,Complete,5/11/2026 5:36:58 PM,30.6536924667693,-81.5431009045274,CHESTER RD                          ,,,Bicycle
26945304,10/5/2025 12:00:00 AM,Urban,2.0,Major Collector,5.0,County Highway Agency,2.0,Not on the National Highway System,6.0,County Road,4.0,35.0,System confident,Complete,5/11/2026 5:16:17 PM,26.4329852502406,-81.4378870243061,LAKE TRAFFORD RD                    ,CR 890,,Bicycle
88249745,2/11/2020 12:00:00 AM,Urban,2.0,Principal Arterial - Other,3.0,State Highway Agency,1.0,On the National Highway System,1.0,State Highway,3.0,55.0,Editor,Complete,1/19/2023 4:50:10 PM,27.937726823122,-82.236223962957,E STATE ROAD 60                     ,SR   60 ,,Bicycle
27016117,6/20/2025 12:00:00 AM,Urban,2.0,Major Collector,5.0,County Highway Agency,2.0,Not on the National Highway System,6.0,County Road,4.0,25.0,Editor,Complete,5/11/2026 5:55:39 PM,28.5885371852745,-81.4967442874346,APOPKA VINELAND RD N                ,CR 435,,Bicycle
84877539,9/3/2016 12:00:00 AM,Urban,2.0,Principal Arterial - Other,3.0,State Highway Agency,1.0,On the National Highway System,1.0,State Highway,3.0,45.0,Editor,Complete,3/5/2025 7:18:10 PM,27.9376429146146,-82.2905460174793,W BRANDON BLVD                      ,SR   60 ,,Bicycle
26312896,2/23/2024 12:00:00 AM,Urban,2.0,Principal Arterial - Other,3.0,State Highway Agency,1.0,On the National Highway System,1.0,US Highway,2.0,45.0,Editor,Preliminary,5/30/2025 12:35:15 PM,27.7610270936162,-82.3349654163706,US HIGHWAY 301 S                    ,,,Bicycle
24883482,2/20/2022 12:00:00 AM,Urban,2.0,Principal Arterial - Other,3.0,Trafficway Not in State Inventory,96.0,Not on the National Highway System,6.0,County Road,4.0,50.0,Editor,Not reviewed,3/17/2022 11:38:44 AM,27.3887799882991,-82.5253572764305,UNIVERSITY PKWY                     ,,,Bicycle
89682165,7/26/2023 12:00:00 AM,Urban,2.0,Major Collector,5.0,City or Municipal Highway Agency,4.0,Not on the National Highway System,6.0,Municipality,6.0,35.0,Editor,Complete,12/5/2023 8:28:45 AM,28.4502097137944,-81.3417426177024,JETPORT DR                          ,,,Bicycle
84540616,1/9/2015 12:00:00 AM,,,,,,,,,County Road,4.0,40.0,Editor,Complete,3/5/2025 5:56:55 PM,27.4134849086613,-82.5467624994118,15TH ST E                           ,,,Bicycle
85171636,11/2/2015 12:00:00 AM,,,,,,,,,US Highway,2.0,45.0,Editor,Complete,3/5/2025 6:29:32 PM,29.8666879380683,-81.3229825710493,US HIGHWAY 1 S                      ,SR    5 ,US    1 ,Bicycle
88340956,7/8/2020 12:00:00 AM,Urban,2.0,Major Collector,5.0,City or Municipal Highway Agency,4.0,Not on the National Highway System,6.0,Municipality,6.0,40.0,Editor,Complete,5/30/2024 7:53:37 AM,28.5379760854177,-81.5229381801839,HEMPEL AVE                          ,,,Bicycle
87086440,9/19/2017 12:00:00 AM,Urban,2.0,Principal Arterial - Other,3.0,State Highway Agency,1.0,On the National Highway System,1.0,US Highway,2.0,45.0,Editor,Complete,3/5/2025 8:32:42 PM,26.0985342101257,-80.2011791388901,SW 40TH AVE                         ,SR    7 ,US  441 ,Bicycle
25006732,3/3/2023 12:00:00 AM,Urban,2.0,Minor Arterial,4.0,State Highway Agency,1.0,Not on the National Highway System,6.0,State Highway,3.0,40.0,Editor,Complete,7/26/2023 1:41:13 PM,27.281198964124,-80.2099349414392,S OCEAN DR                          ,,,Bicycle
24225863,2/15/2022 12:00:00 AM,Urban,2.0,Minor Arterial,4.0,City or Municipal Highway Agency,4.0,Not on the National Highway System,6.0,Municipality,6.0,35.0,Editor,Complete,1/14/2025 3:42:07 PM,25.7918368987752,-80.1442597951581,ABE RESNICK BLVD                    ,,,Bicycle
26866665,12/2/2025 12:00:00 AM,Urban,2.0,Minor Arterial,4.0,City or Municipal Highway Agency,4.0,Not on the National Highway System,6.0,Municipality,6.0,40.0,Officer,Complete,6/8/2026 3:21:43 PM,27.7918703412348,-82.7002416525384,22ND AVE N                          ,,,Bicycle
24419445,4/16/2021 12:00:00 AM,Urban,2.0,Principal Arterial - Other,3.0,State Highway Agency,1.0,On the National Highway System,1.0,US Highway,2.0,35.0,Editor,Complete,1/19/2023 10:20:43 AM,28.5310895583002,-81.3971189869564,S ORANGE BLOSSOM TRL                ,SR  500 ,US   17 ,Bicycle
24900630,2/22/2022 12:00:00 AM,Urban,2.0,Principal Arterial - Other,3.0,State Highway Agency,1.0,On the National Highway System,1.0,US Highway,2.0,45.0,Editor,Complete,1/19/2023 9:33:24 AM,27.0106343466997,-82.1410817191576,TAMIAMI TRL                         ,SR   45 ,US   41 ,Bicycle
88313240,4/19/2020 12:00:00 AM,Urban,2.0,Minor Collector,6.0,City or Municipal Highway Agency,4.0,Not on the National Highway System,6.0,Municipality,6.0,30.0,Editor,Complete,6/3/2024 2:29:30 PM,28.2877864522645,-82.6791433118102,SAN MIGUEL DR                       ,,,Bicycle
85205616,11/18/2015 12:00:00 AM,,,,,,,,,County Road,4.0,35.0,Editor,Complete,3/5/2025 5:54:11 PM,28.6798076254933,-81.5204199356413,OLD DIXIE HWY                       ,,,Bicycle
88442764,12/22/2020 12:00:00 AM,Urban,2.0,Principal Arterial - Other,3.0,State Highway Agency,1.0,On the National Highway System,1.0,State Highway,3.0,45.0,Editor,Complete,6/5/2024 2:04:22 PM,28.2169241398721,-82.7101239045426,SR-54                               ,SR 54,,Bicycle
24883475,2/18/2022 12:00:00 AM,Urban,2.0,Principal Arterial - Other,3.0,Trafficway Not in State Inventory,96.0,Not on the National Highway System,6.0,County Road,4.0,50.0,Editor,Not reviewed,3/17/2022 9:02:15 AM,27.389013661064,-82.5098086890977,UNIVERSITY PKWY                     ,,,Bicycle
88287969,3/19/2020 12:00:00 AM,Urban,2.0,Principal Arterial - Other,3.0,State Highway Agency,1.0,On the National Highway System,1.0,US Highway,2.0,45.0,Editor,Complete,6/4/2024 7:36:55 AM,30.2872581019885,-81.5062594376796,BEACH BLVD                          ,SR 212,US 90,Bicycle
